Entry Point: 0x7FF77D160000
GObjects: 0x7FF77F58D738
GNames: 0x7FF77F58D6F0

Processing Package: Core

ScriptStruct: Rotator                                          - Instance: 0x1FB878E8D00
ScriptStruct: UniqueLobbyId                                    - Instance: 0x1FBA4A1CA00
ScriptStruct: OnlineRegistrant                                 - Instance: 0x1FBA4A1C280
ScriptStruct: OnlineArbitrationRegistrant                      - Instance: 0x1FBA4A23E80
ScriptStruct: NamedSession                                     - Instance: 0x1FBA4A1C400
ScriptStruct: FriendHistoryKey                                 - Instance: 0x1FBA4A23400
ScriptStruct: NamedInterface                                   - Instance: 0x1FBA4A22E00
ScriptStruct: SocialPostImageFlags                             - Instance: 0x1FBA4A07100
ScriptStruct: SocialPostImageInfo                              - Instance: 0x1FBA4A07280
ScriptStruct: SocialPostLinkInfo                               - Instance: 0x1FBA4A07400
ScriptStruct: DownloadedWorkshopData                           - Instance: 0x1FBA4A06F80
ScriptStruct: SocialPostPrivileges                             - Instance: 0x1FBA4A06E00
ScriptStruct: OnlinePartyMember                                - Instance: 0x1FBA4A06C80
ScriptStruct: SessionMemberInfo                                - Instance: 0x1FBA4A06B00
ScriptStruct: MarketplaceInventoryItem                         - Instance: 0x1FBA4A06980
ScriptStruct: MarketplaceProductImage                          - Instance: 0x1FBA4A06800
ScriptStruct: MarketplaceProductAvailability                   - Instance: 0x1FBA4A06500
ScriptStruct: MarketplaceProductDetails                        - Instance: 0x1FBA4A06680
ScriptStruct: AchievementReward                                - Instance: 0x1FBA4A06080
ScriptStruct: AchievementMediaAsset                            - Instance: 0x1FBA4A05F00
ScriptStruct: AchievementTitleAssociation                      - Instance: 0x1FBA4A06200
ScriptStruct: AchievementDetails                               - Instance: 0x1FBA4A06380
ScriptStruct: SettingsData                                     - Instance: 0x1FBA4A05900
ScriptStruct: SettingsProperty                                 - Instance: 0x1FBA4A05A80
ScriptStruct: CommunityContentMetadata                         - Instance: 0x1FBA4A05D80
ScriptStruct: CommunityContentFile                             - Instance: 0x1FBA4A05C00
ScriptStruct: LocalizedStringSetting                           - Instance: 0x1FBA4A05780
ScriptStruct: TitleFile                                        - Instance: 0x1FBA4A05600
ScriptStruct: EmsFile                                          - Instance: 0x1FBA4A05480
ScriptStruct: NamedInterfaceDef                                - Instance: 0x1FBA4A05300
ScriptStruct: OnlineFriendMessage                              - Instance: 0x1FBA4A05180
ScriptStruct: RemoteTalker                                     - Instance: 0x1FBA4A05000
ScriptStruct: LocalTalker                                      - Instance: 0x1FBA4A04E80
ScriptStruct: OnlinePlayerScore                                - Instance: 0x1FBA4A04D00
ScriptStruct: SpeechRecognizedWord                             - Instance: 0x1FBA4A04B80
ScriptStruct: OnlineContent                                    - Instance: 0x1FBA4A04880
ScriptStruct: OnlineCrossTitleContent                          - Instance: 0x1FBA4A04A00
ScriptStruct: OnlineUser                                       - Instance: 0x1FBA4A04580
ScriptStruct: OnlineFriend                                     - Instance: 0x1FBA4A04700
ScriptStruct: FriendsQuery                                     - Instance: 0x1FBA4A04400
ScriptStruct: WordFilterResult                                 - Instance: 0x1FBA4A04280
ScriptStruct: EpicDLCInfo                                      - Instance: 0x1FBA4A04100
ScriptStruct: SwitchDLCInfo                                    - Instance: 0x1FBA49FBE80
ScriptStruct: XboxOneDLCInfo                                   - Instance: 0x1FBA49FBD00
ScriptStruct: PS4DLCInfo                                       - Instance: 0x1FBA49FBB80
ScriptStruct: SteamDLCInfo                                     - Instance: 0x1FBA49FBA00
ScriptStruct: CheckpointRecord                                 - Instance: 0x1FBA49F9000
ScriptStruct: ViewParticleEmitterInstanceMotionBlurInfo        - Instance: 0x1FBA49E6C80
ScriptStruct: ParticleSysParam                                 - Instance: 0x1FBA49E6B00
ScriptStruct: ParticleEventData                                - Instance: 0x1FBA49E6980
ScriptStruct: ParticleEventSpawnData                           - Instance: 0x1FBA49E6800
ScriptStruct: ParticleEventDeathData                           - Instance: 0x1FBA49E6680
ScriptStruct: ParticleEventCollideData                         - Instance: 0x1FBA49E6500
ScriptStruct: ParticleEventAttractorCollideData                - Instance: 0x1FBA49E6380
ScriptStruct: ParticleEventKismetData                          - Instance: 0x1FBA49E6200
ScriptStruct: ParticleEmitterInstanceMotionBlurInfo            - Instance: 0x1FBA49DD300
ScriptStruct: ParticleEmitterInstance                          - Instance: 0x1FBA49DD180
ScriptStruct: CheckpointRecord                                 - Instance: 0x1FBA49DD000
ScriptStruct: EmitterBaseInfo                                  - Instance: 0x1FBA49DAE00
ScriptStruct: StatColorMapEntry                                - Instance: 0x1FBA49D9A80
ScriptStruct: StatColorMapping                                 - Instance: 0x1FBA49D9900
ScriptStruct: DropNoteInfo                                     - Instance: 0x1FBA49D9780
ScriptStruct: PrimitiveMaterialRef                             - Instance: 0x1FBA49BD180
ScriptStruct: PostProcessMaterialRef                           - Instance: 0x1FBA49BD000
ScriptStruct: MaterialReferenceList                            - Instance: 0x1FBA49BCE80
ScriptStruct: VelocityObstacleStat                             - Instance: 0x1FBA49BCD00
ScriptStruct: FacebookFriend                                   - Instance: 0x1FBA49BC280
ScriptStruct: CheckpointRecord                                 - Instance: 0x1FBA4996200
ScriptStruct: FontImportOptionsData                            - Instance: 0x1FBA4995000
ScriptStruct: FontCharacter                                    - Instance: 0x1FBA4994E80
ScriptStruct: WaveformSample                                   - Instance: 0x1FBA4994100
ScriptStruct: FragmentGroup                                    - Instance: 0x1FBA4981300
ScriptStruct: DeferredPartToSpawn                              - Instance: 0x1FBA4980100
ScriptStruct: CheckpointRecord                                 - Instance: 0x1FBA4973E80
ScriptStruct: LevelStreamingStatus                             - Instance: 0x1FBA495FA00
ScriptStruct: FullyLoadedPackagesInfo                          - Instance: 0x1FBA495F880
ScriptStruct: NamedNetDriver                                   - Instance: 0x1FBA495F700
ScriptStruct: AnimTag                                          - Instance: 0x1FBA495F580
ScriptStruct: URL                                              - Instance: 0x1FBA495EF80
ScriptStruct: GameClassShortName                               - Instance: 0x1FBA495EE00
ScriptStruct: GameTypePrefix                                   - Instance: 0x1FBA495EC80
ScriptStruct: PlayerInformation                                - Instance: 0x1FBA5523400
ScriptStruct: TeamInformation                                  - Instance: 0x1FBA5523280
ScriptStruct: GameStatGroup                                    - Instance: 0x1FBA5522980
ScriptStruct: GameplayEventMetaData                            - Instance: 0x1FBA5523100
ScriptStruct: WeaponClassEventData                             - Instance: 0x1FBA5522F80
ScriptStruct: DamageClassEventData                             - Instance: 0x1FBA5522E00
ScriptStruct: ProjectileClassEventData                         - Instance: 0x1FBA5522C80
ScriptStruct: PawnClassEventData                               - Instance: 0x1FBA5522B00
ScriptStruct: GameplayEventsHeader                             - Instance: 0x1FBA5522800
ScriptStruct: GameSessionInformation                           - Instance: 0x1FBA5522680
ScriptStruct: NavMeshPathGoalEvaluatorCacheDatum               - Instance: 0x1FBA54F7A00
ScriptStruct: PhysXEmitterVerticalProperties                   - Instance: 0x1FBA54ECD00
ScriptStruct: PhysXVerticalProperties                          - Instance: 0x1FBA54F7880
ScriptStruct: HostMigrationState                               - Instance: 0x1FBA54F7700
ScriptStruct: MusicTrackStruct                                 - Instance: 0x1FBA54F6200
ScriptStruct: WorldFractureSettings                            - Instance: 0x1FBA54EE500
ScriptStruct: NavMeshPathConstraintCacheDatum                  - Instance: 0x1FBA54ED180
ScriptStruct: LightmassWorldInfoSettings                       - Instance: 0x1FBA54ED000
ScriptStruct: ScreenMessageString                              - Instance: 0x1FBA54ECE80
ScriptStruct: ApexModuleDestructibleSettings                   - Instance: 0x1FBA54ECB80
ScriptStruct: PhysXSimulationProperties                        - Instance: 0x1FBA54EC880
ScriptStruct: PhysXSceneProperties                             - Instance: 0x1FBA54ECA00
ScriptStruct: CompartmentRunList                               - Instance: 0x1FBA54EC700
ScriptStruct: NetViewer                                        - Instance: 0x1FBA54EC580
